Dataset,Model,Accuracy,Precision,Recall,F1-Score,ROC_AUC
FVC2000,SVM,0.988542,0.989044,0.988542,0.988626,0.999971
FVC2000,KNN,0.997917,0.997934,0.997917,0.99792,0.999306
