Dataset,Model,Accuracy,Precision,Recall,F1-Score,ROC_AUC
SOCOFing,SVM,0.810811,0.896075,0.810811,0.83944,0.878788
SOCOFing,KNN,0.576577,0.879695,0.576577,0.653718,0.741582
