Experiment,Model,TrainSamples,TestSamples,TrainGenuine,TrainFake,TestGenuine,TestFake,FeatureDimension,BestParams,CV_ROC_AUC,ROC_AUC,PR_AUC,Accuracy,BalancedAccuracy,FakePrecision,FakeRecall,FakeF1,GenuinePrecision,GenuineRecall,GenuineF1,MacroF1,MCC,FalseAcceptanceRate,FalseRejectionRate
Easy,SVM,460,274,230,230,70,204,640,"{'svm__C': 100, 'svm__class_weight': None, 'svm__gamma': 0.001, 'svm__kernel': 'rbf'}",0.727599,0.826891,0.631319,0.678832,0.732703,0.92029,0.622549,0.74269,0.433824,0.842857,0.572816,0.657753,0.405964,0.377451,0.157143
Easy,KNN,460,274,230,230,70,204,640,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 15, 'knn__weights': 'uniform'}",0.558743,0.652626,0.397271,0.452555,0.57605,0.846154,0.323529,0.468085,0.295918,0.828571,0.43609,0.452088,0.147001,0.676471,0.171429
Medium,SVM,460,267,230,230,70,197,640,"{'svm__C': 100, 'svm__class_weight': None, 'svm__gamma': 0.001, 'svm__kernel': 'rbf'}",0.908507,0.974112,0.936438,0.895131,0.910515,0.977401,0.878173,0.925134,0.733333,0.942857,0.825,0.875067,0.763894,0.121827,0.057143
Medium,KNN,460,267,230,230,70,197,640,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 15, 'knn__weights': 'uniform'}",0.776749,0.863017,0.721465,0.782772,0.788325,0.916168,0.77665,0.840659,0.56,0.8,0.658824,0.749741,0.524006,0.22335,0.2
Hard,SVM,460,229,230,230,70,159,640,"{'svm__C': 100, 'svm__class_weight': None, 'svm__gamma': 0.001, 'svm__kernel': 'rbf'}",0.969565,0.994699,0.989004,0.951965,0.961411,0.993333,0.937107,0.964401,0.873418,0.985714,0.926174,0.945288,0.894347,0.062893,0.014286
Hard,KNN,460,229,230,230,70,159,640,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 15, 'knn__weights': 'uniform'}",0.870841,0.957278,0.91746,0.873362,0.884816,0.957746,0.855346,0.903654,0.735632,0.914286,0.815287,0.859471,0.730511,0.144654,0.085714
Combined,SVM,420,596,210,210,90,506,640,"{'svm__C': 100, 'svm__class_weight': None, 'svm__gamma': 0.001, 'svm__kernel': 'rbf'}",0.714626,0.746421,0.390168,0.597315,0.671498,0.934641,0.565217,0.704433,0.241379,0.777778,0.368421,0.536427,0.245711,0.434783,0.222222
Combined,KNN,420,596,210,210,90,506,640,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 13, 'knn__weights': 'uniform'}",0.593764,0.601845,0.200572,0.449664,0.566271,0.893805,0.399209,0.551913,0.178378,0.733333,0.286957,0.419435,0.097813,0.600791,0.266667
