Experiment,Model,TrainSamples,TestSamples,TrainGenuine,TrainFake,TestGenuine,TestFake,FeatureDimension,BestParams,CV_ROC_AUC,ROC_AUC,PR_AUC,Accuracy,BalancedAccuracy,FakePrecision,FakeRecall,FakeF1,GenuinePrecision,GenuineRecall,GenuineF1,MacroF1,MCC,FalseAcceptanceRate,FalseRejectionRate
Easy,KNN,9600,4785,4800,4800,1200,3585,640,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 15, 'knn__weights': 'uniform'}",0.626834,0.713514,0.45467,0.520794,0.633072,0.895833,0.40781,0.560475,0.326673,0.858333,0.473237,0.516856,0.243349,0.59219,0.141667
Medium,KNN,9600,4602,4800,4800,1200,3402,640,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 15, 'knn__weights': 'uniform'}",0.898104,0.922996,0.830583,0.774011,0.823685,0.965694,0.719871,0.824857,0.538722,0.9275,0.681568,0.753212,0.57144,0.280129,0.0725
Hard,KNN,9600,4011,4800,4800,1200,2811,640,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 15, 'knn__weights': 'uniform'}",0.956142,0.970167,0.937569,0.887061,0.899126,0.966377,0.869086,0.915153,0.751854,0.929167,0.831159,0.873156,0.757185,0.130914,0.070833
Combined,KNN,9600,10998,4800,4800,1200,9798,640,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 15, 'knn__weights': 'uniform'}",0.821739,0.852739,0.391866,0.619567,0.752849,0.984132,0.582364,0.731726,0.213077,0.923333,0.34625,0.538988,0.315798,0.417636,0.076667
Easy,SVM,9600,4785,4800,4800,1200,3585,640,"{'svm__C': 100, 'svm__class_weight': None, 'svm__gamma': 0.001, 'svm__kernel': 'rbf'}",0.87104,0.889453,0.718956,0.801672,0.810263,0.932131,0.793026,0.856971,0.572334,0.8275,0.676661,0.766816,0.559495,0.206974,0.1725
Medium,SVM,9600,4602,4800,4800,1200,3402,640,"{'svm__C': 10, 'svm__class_weight': None, 'svm__gamma': 0.001, 'svm__kernel': 'rbf'}",0.984673,0.988039,0.966878,0.943937,0.946978,0.982801,0.940623,0.96125,0.849926,0.953333,0.898665,0.929957,0.862799,0.059377,0.046667
Hard,SVM,9600,4011,4800,4800,1200,2811,640,"{'svm__C': 10, 'svm__class_weight': None, 'svm__gamma': 0.001, 'svm__kernel': 'rbf'}",0.995044,0.997224,0.99356,0.975567,0.97636,0.990597,0.974386,0.982425,0.942215,0.978333,0.959935,0.97118,0.942713,0.025614,0.021667
Combined,SVM,9600,10998,4800,4800,1200,9798,640,"{'svm__C': 100, 'svm__class_weight': None, 'svm__gamma': 0.001, 'svm__kernel': 'rbf'}",0.940539,0.948535,0.691987,0.867612,0.870854,0.982643,0.866707,0.921041,0.445671,0.875,0.590551,0.755796,0.563634,0.133293,0.125
