Dataset,Model,Accuracy,Precision,Recall,F1-Score,ROC_AUC
FVC2000,SVM,0.995938,0.996002,0.995938,0.995948,0.999999
FVC2000,KNN,0.999375,0.999377,0.999375,0.999375,1.0
